Messstelle Nr.,Messtelle,Messbeginn,Messende,Messstellezweck,Betreiber,Landkreis,Flussgebiet,Grundwasserkörper,Überschwemmungsgebiet,Wasserschutzgebiet,UTM-Rechtswert,UTM-Hochwert
1300000068,GD 59 Wietzendorf,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Verden,Heidekreis,Weser,Örtze Lockergestein rechts,,,32567222,5861854
700003862,Gebhardshagen I,2010,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Salzgitter,Weser,Wietze/Fuhse Festgestein,,,32591717,5775364
700003871,Gebhardshagen II,2010,2010,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Süd,Salzgitter,Weser,Wietze/Fuhse Festgestein,,,32591717,5775364
1100000280,Gehlenberg I,1983,2010,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Cloppenburg,Cloppenburg,Ems,Leda-Jümme Lockergestein links,,,32417299,5870236
1100000282,Gehlenberg II,1983,2010,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Cloppenburg,Cloppenburg,Ems,Leda-Jümme Lockergestein links,,,32417297,5870235
701200001,Gehrenrode_TB,1999,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Northeim,Weser,Leine mesozoisches Festgestein rechts 2,,Gehrenrode,32569982,5754593
900000099,Gellen,1972,2002,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Brake-Oldenburg,Wesermarsch,Weser,Hunte Lockergestein links,,,32456246,5891664
701210001,Gelliehausen_TB,2004,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Göttingen,Weser,Leine mesozoisches Festgestein rechts 1,,Gelliehausen,32574019,5703529
1200000021,Gersten,2003,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Meppen,Emsland,Ems,Hase links Lockergestein,,,32400090,5829015
400001548,Gerzen: Gerzen Brunnen,1988,1997,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hildesheim,Weser,Leine mesozoisches Festgestein links 2,,,32555884,5757406
400001547,Gerzen: Ochsenquelle,1987,1995,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hildesheim,Weser,Leine mesozoisches Festgestein links 2,,,32553995,5757975
700000932,Gielde,1990,2012,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Süd,Wolfenbüttel,Weser,Oker mesozoisches Festgestein links,,,32601095,5766346
700003865,Gielde 2,2010,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Süd,Wolfenbüttel,Weser,Oker mesozoisches Festgestein links,,,32601113,5766396
701230001,Gieselbornquelle (4 Qu),2003,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Northeim,Weser,Vogler-Solling-Bramwald,,Schönhagen/Gieselbornquelle,32536685,5729942
400002898,Giesen: Tiefbrunnen Am Feuerberg,2007,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hildesheim,Weser,Innerste mesozoisches Festgestein links,,Giesen,32560304,5782786
701240199,Gifhorn_Brunnen 20,2011,2011,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Gifhorn,Weser,Ise Lockergestein rechts,,Gifhorn,32602314,5817635
701240000,Gifhorn_WW,2010,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Gifhorn,Weser,Ise Lockergestein rechts,,Gifhorn,32603540,5816315
701240006,Gifhorn_13,1999,1999,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Gifhorn,Weser,Ise Lockergestein rechts,,Gifhorn,32602866,5816617
701240044,Gifhorn_19. A,1999,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Gifhorn,Weser,Ise Lockergestein rechts,,Gifhorn,32601048,5817081
701240045,Gifhorn_19. B,1999,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Gifhorn,Weser,Ise Lockergestein rechts,,Gifhorn,32601048,5817081
701240046,Gifhorn_19. C,1999,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Gifhorn,Weser,Ise Lockergestein rechts,,Gifhorn,32601048,5817081
701240047,Gifhorn_19. D,1999,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Gifhorn,Weser,Ise Lockergestein rechts,,Gifhorn,32601048,5817081
701240049,Gifhorn_21. A,2006,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Gifhorn,Weser,Ise Lockergestein rechts,Ise,,32604737,5819997
701240017,Gifhorn_4. A,1999,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Gifhorn,Weser,Ise Lockergestein rechts,,Gifhorn,32602041,5817213
701240018,Gifhorn_4. B,1999,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Gifhorn,Weser,Ise Lockergestein rechts,,Gifhorn,32602041,5817213
701240019,Gifhorn_4. C,1999,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Gifhorn,Weser,Ise Lockergestein rechts,,Gifhorn,32602041,5817213
701240020,Gifhorn_4. D,1999,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Gifhorn,Weser,Ise Lockergestein rechts,,Gifhorn,32602041,5817213
701240095,Gifhorn_55,2002,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Gifhorn,Weser,Ise Lockergestein rechts,,Gifhorn,32602977,5818373
701240096,Gifhorn_56,1999,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Gifhorn,Weser,Ise Lockergestein rechts,,Gifhorn,32602895,5818090
1200000900,Gildehaus Süd,1995,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Meppen,Grafschaft Bentheim,Rhein,Niederung der Dinkel,,,32368911,5791356
701250001,Gillersheim_Steinbergquelle,1996,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Northeim,Weser,Rhume mesozoisches Festgestein links,,Gillersheim-Steinbergquelle,32574777,5722313
1100000344,Glandorf,1989,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Cloppenburg,Osnabrück,Ems,Niederung der Oberen Ems (Greven/Ladbergen),,,32430055,5772451
1100000340,Glane,1988,2003,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Cloppenburg,Osnabrück,Ems,Niederung der Oberen Ems (Sassenberg/Versmold),,,32434813,5776580
100000359,Glansdorf I,1974,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Aurich,Leer,Ems,Leda-Jümme Lockergestein links,,Collinghorst,32399825,5890356
702020001,Gläseckental Quellen,2007,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Goslar,Weser,Oker  Harzpaläozoikum,,Bad Harzburg,32604997,5749225
400001549,Glesse: Glesse Quelle,1994,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Holzminden,Weser,Ottensteiner Hochfläche,,Glessequelle,32525588,5755497
400004342,Glesse: Q GL8,2009,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Holzminden,Weser,Ottensteiner Hochfläche,,Bad Pyrmont,32525054,5754973
600001068,Glinde UE 55 FI,1989,1992,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Stade,Rotenburg (Wümme),Elbe/Labe,Oste Lockergestein links,,,32507933,5928042
600001070,Glinde UE 55 FII,1999,1999,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Stade,Rotenburg (Wümme),Elbe/Labe,Oste Lockergestein links,,,32507931,5928042
800000962,Glissen,1999,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Sulingen,Nienburg (Weser),Weser,Große Aue Lockergestein links,,Liebenau II / Blockhaus,32505505,5832640
900000765,Glüsing,1973,2003,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Brake-Oldenburg,Wesermarsch,Weser,Hunte Lockergestein rechts,,,32465163,5891414
900000385,Godensholt,1978,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Brake-Oldenburg,Ammerland,Ems,Leda-Jümme Lockergestein rechts,,,32421280,5892644
600001474,Godenstedt UE 151,2000,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Stade,Rotenburg (Wümme),Elbe/Labe,Oste Lockergestein links,,,32513429,5907876
500000630,Gödenstorf,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Lüneburg,Harburg,Elbe/Labe,Ilmenau Lockergestein links,,Nordheide,32574435,5897345
800000490,Gödestorf I,1991,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Sulingen,Diepholz,Weser,Ochtum Lockergestein,,,32494031,5862435
800000492,Gödestorf II,1991,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Sulingen,Diepholz,Weser,Ochtum Lockergestein,,,32494031,5862436
500000173,Göhrde Botterbusch,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Lüneburg,Lüchow-Dannenberg,Elbe/Labe,Ilmenau Lockergestein rechts,,,32617928,5886912
500000051,Göhrde Forst F1,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Lüneburg,Lüchow-Dannenberg,Elbe/Labe,Ilmenau Lockergestein rechts,,,32622434,5884976
500000052,Göhrde Forst F2,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Lüneburg,Lüchow-Dannenberg,Elbe/Labe,Ilmenau Lockergestein rechts,,,32622431,5884975
400001550,Goldbeck: Goldbeck Brunnen,1993,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Schaumburg,Weser,Nordlippische Trias-Gebiete,,Goldbeck,32511385,5772663
600001508,Goldbeck UE 31 FI,1999,1999,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Stade,Stade,Elbe/Labe,Este-Seeve Lockergestein,,,32542548,5916268
701290001,Goldbornquelle (untere Quelle),2003,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Northeim,Weser,Vogler-Solling-Bramwald,,Dinkelhausen-Goldbornquelle,32547699,5726604
1100000117,Goldenstedt Bhf,1989,2006,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Cloppenburg,Vechta,Weser,Hunte Lockergestein links,,,32458579,5850948
1100000121,Goldenstedt I,1988,2006,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Cloppenburg,Vechta,Weser,Hunte Lockergestein links,,,32462814,5848355
1100000123,Goldenstedt II,1992,2006,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Cloppenburg,Vechta,Weser,Hunte Lockergestein links,,,32462819,5848353
400001561,Golmbach-Krümmecke: TB Krümmecke,1984,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Holzminden,Weser,Vogler-Solling-Bramwald,,Krümmeckebrunnen,32539483,5750149
900000227,Golzwarderwurp,1977,2000,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Brake-Oldenburg,Wesermarsch,Weser,Untere Weser Lockergestein links,,,32463144,5910826
900000315,Golzwarderwurp I,1993,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Brake-Oldenburg,Wesermarsch,Weser,Untere Weser Lockergestein links,,,32463116,5910819
900000317,Golzwarderwurp II,1993,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Brake-Oldenburg,Wesermarsch,Weser,Untere Weser Lockergestein links,,,32463117,5910818
701300001,Gosetal_BR_1,2012,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Goslar,Weser,Oker  Harzpaläozoikum,,Gosetal,32595879,5748109
701300002,Gosetal_BR_2,2013,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Goslar,Weser,Oker  Harzpaläozoikum,,Gosetal,32595219,5746849
701300003,Gosetal_BR_3,2012,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Goslar,Weser,Oker  Harzpaläozoikum,,Gosetal,32595199,5746709
701300004,Gosetal_BR_4,2012,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Goslar,Weser,Oker  Harzpaläozoikum,,Gosetal,32594939,5746529
700000479,Goslar,2006,2006,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Süd,Goslar,Weser,Oker mesozoisches Festgestein links,,,32599198,5752473
800001138,Göthen,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Sulingen,Diepholz,Weser,Große Aue Lockergestein rechts,,,32487013,5822461
900001165,Grabhorn I,1991,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Brake-Oldenburg,Friesland,Weser,Jade Lockergestein links,,,32434683,5912727
900001167,Grabhorn II,1991,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Brake-Oldenburg,Friesland,Weser,Jade Lockergestein links,,,32434690,5912730
900001169,Grabhorn III,1991,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Brake-Oldenburg,Friesland,Weser,Jade Lockergestein links,,,32434686,5912729
500000025,Grabow,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Lüneburg,Lüchow-Dannenberg,Elbe/Labe,Jeetzel Lockergestein links,,,32641288,5874402
600001086,Graepel UE 12 FI,1996,1998,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Stade,Stade,Elbe/Labe,Oste Lockergestein rechts,,,32512377,5936105
600001496,Grafel UE 152,2000,2002,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Stade,Rotenburg (Wümme),Elbe/Labe,Oste Lockergestein rechts,,,32522638,5916236
1100000312,Grafeld,1988,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Cloppenburg,Osnabrück,Ems,Hase links Lockergestein,,,32409907,5830725
701320001,Granetalsperre_WW,2008,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Goslar,Weser,Innerste Harzpaläozoikum,,,32594426,5752182
400001563,Grasdorf: Brunnen 1 (GHF.01),1996,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hannover,Weser,Leine Lockergestein links,Leine + Ihme,Grasdorf,32554826,5793491
400001564,Grasdorf: Brunnen 2 (GHF.02),1996,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hannover,Weser,Leine Lockergestein links,Leine + Ihme,Grasdorf,32554606,5793631
400001565,Grasdorf: Brunnen 3 (GHF.03),1996,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hannover,Weser,Leine Lockergestein links,Leine + Ihme,Grasdorf,32554431,5793816
400001566,Grasdorf: Brunnen 4 (GHF.04),1996,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hannover,Weser,Leine Lockergestein links,Leine + Ihme,Grasdorf,32554296,5794058
400001567,Grasdorf: Brunnen 5 (GHF.05),1996,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hannover,Weser,Leine Lockergestein links,Leine + Ihme,Grasdorf,32554110,5794261
400001568,Grasdorf: Brunnen 6 (GHF.06),1996,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hannover,Weser,Leine Lockergestein links,Leine + Ihme,Grasdorf,32554104,5794499
400001562,Grasdorf: Brunnen 7 (GHF.101),1996,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hannover,Weser,Leine Lockergestein links,Leine + Ihme,Grasdorf,32554940,5792602
400002070,Grasdorf: Fassung Grasdorf,1992,2007,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hannover,Weser,Leine Lockergestein links,Leine + Ihme,Grasdorf,32554098,5795013
400002940,Grasdorf: GWM60417Hy,2007,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hannover,Weser,Leine mesozoisches Festgestein rechts 4,,Grasdorf,32555735,5794051
400002941,Grasdorf: GWM60501,2007,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hannover,Weser,Leine Lockergestein links,Leine + Ihme,,32552667,5794521
400002942,Grasdorf: GWM60506,2007,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hannover,Weser,Leine mesozoisches Festgestein rechts 4,Leine + Ihme,,32555985,5791079
400002943,Grasdorf: GWM60513Hy,2007,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hannover,Weser,Leine Lockergestein links,,,32552993,5790492
400004376,Grasdorf: Heberleitung Grasdorf,2010,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hannover,Weser,Leine Lockergestein links,Leine + Ihme,Grasdorf,32554206,5794921
1200000025,Grasdorf I,2007,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Meppen,Grafschaft Bentheim,Rhein,Niederung der Dinkel,,,32363499,5816592
1200000027,Grasdorf II,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Meppen,Grafschaft Bentheim,Rhein,Niederung der Dinkel,,,32363445,5816650
800000768,Graue I,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Sulingen,Diepholz,Weser,Mittlere Weser Lockergestein links 3,,,32502357,5843452
100000083,Greetsiel I,1988,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Aurich,Aurich,Ems,Untere Ems rechts,,,32374200,5929055
100000085,Greetsiel II,1988,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Aurich,Aurich,Ems,Untere Ems rechts,,,32374198,5929058
100000087,Greetsiel III,1988,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Aurich,Aurich,Ems,Untere Ems rechts,,,32374200,5929056
100000089,Greetsiel IV,1988,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Aurich,Aurich,Ems,Untere Ems rechts,,,32374201,5929054
701350001,Gremsheim_TB,1999,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Northeim,Weser,Leine mesozoisches Festgestein rechts 2,,Gremsheim,32572281,5751917
900001199,Grimmens I,1993,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Brake-Oldenburg,Friesland,Weser,Jade Lockergestein links,,,32429309,5948241
900001201,Grimmens II,1993,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Brake-Oldenburg,Friesland,Weser,Jade Lockergestein links,,,32429311,5948246
800001352,Grinderwald I,1994,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Sulingen,Nienburg (Weser),Weser,Mittlere Weser Lockergestein rechts,,,32522771,5825685
800001354,Grinderwald II,2014,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Sulingen,Nienburg (Weser),Weser,Mittlere Weser Lockergestein rechts,,,32522769,5825683
800001356,Grinderwald III,2014,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Sulingen,Nienburg (Weser),Weser,Mittlere Weser Lockergestein rechts,,,32522773,5825686
900000533,Gristede I,1993,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Brake-Oldenburg,Ammerland,Ems,Leda-Jümme Lockergestein rechts,,,32438161,5899431
900000539,Gristede II,1993,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Brake-Oldenburg,Ammerland,Ems,Leda-Jümme Lockergestein rechts,,,32438162,5899432
900000369,Gristede III,1993,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Brake-Oldenburg,Ammerland,Ems,Leda-Jümme Lockergestein rechts,,,32438163,5899433
400003406,Grohnde-Süd: Brunnen I,2010,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hameln-Pyrmont,Weser,Ottensteiner Hochfläche,,Grohnde-Süd,32528046,5761724
400003414,Gronau,2009,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hildesheim,Weser,Leine mesozoisches Festgestein rechts 3,,,32553784,5771975
700000585,Gronequelle,2006,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Göttingen,Weser,Leine mesozoisches Festgestein links 1,,Gronespring,32560804,5709439
1100003488,Grönheimer Feld-BDF,2001,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Cloppenburg,Cloppenburg,Ems,Leda-Jümme Lockergestein links,,Thülsfelde,32424420,5860553
400001570,Groß Berkel: Brunnen 1,2009,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hameln-Pyrmont,Weser,Nordlippische Trias-Gebiete,,Bad Pyrmont,32521463,5767152
400001571,Groß Berkel: Brunnen 2,2009,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hameln-Pyrmont,Weser,Nordlippische Trias-Gebiete,,Bad Pyrmont,32521261,5767087
400001572,Groß Berkel: Brunnen 3,2009,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hameln-Pyrmont,Weser,Nordlippische Trias-Gebiete,,Bad Pyrmont,32520488,5767195
400000393,Groß Berkel: GMS 11,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hameln-Pyrmont,Weser,Nordlippische Trias-Gebiete,,Bad Pyrmont,32521898,5768931
400000397,Groß Berkel: GMS 12,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hameln-Pyrmont,Weser,Nordlippische Trias-Gebiete,,Bad Pyrmont,32522308,5768652
1200000029,Groß Berßen,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Meppen,Emsland,Ems,Mittlere Ems Lockergestein rechts 2,,,32397927,5848381
1200000236,Groß Berßen-Wolfstange I,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Meppen,Emsland,Ems,Mittlere Ems Lockergestein rechts 2,,,32399094,5849667
1200000238,Groß Berßen-Wolfstange II,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Meppen,Emsland,Ems,Mittlere Ems Lockergestein rechts 2,,,32399096,5849665
400003068,Groß Düngen: Brunnen 2,2008,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hildesheim,Weser,Innerste mesozoisches Festgestein links,,,32570045,5771762
700003869,Groß Ellershausen 2,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Süd,Göttingen,Weser,Leine mesozoisches Festgestein links 1,,Gronespring,32559933,5707490
1200000031,Groß Hesepe,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Meppen,Emsland,Ems,Mittlere Ems Lockergestein links,,,32380554,5831404
800000460,Groß Mackenstedt I,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Sulingen,Diepholz,Weser,Ochtum Lockergestein,,,32479167,5871241
700000930,Groß Mahner,1990,2006,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Süd,Salzgitter,Weser,Oker mesozoisches Festgestein links,,,32597788,5768350
701380001,Groß Rhüden_TB,1996,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Goslar,Weser,Innerste mesozoisches Festgestein links,,Seesen-Rhüden,32575613,5756444
500000007,Groß Thondorf S A,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Lüneburg,Uelzen,Elbe/Labe,Ilmenau Lockergestein rechts,,,32614120,5886988
500000006,Groß Thondorf S F2,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Lüneburg,Uelzen,Elbe/Labe,Ilmenau Lockergestein rechts,,,32614118,5886988
500000214,Groß Thondorf W F1,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Lüneburg,Uelzen,Elbe/Labe,Ilmenau Lockergestein rechts,,,32612548,5888067
500000215,Groß Thondorf W F2,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Lüneburg,Uelzen,Elbe/Labe,Ilmenau Lockergestein rechts,,,32612546,5888067
800001292,Groß Varlingen,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Sulingen,Nienburg (Weser),Weser,Mittlere Weser Lockergestein rechts,,,32515052,5825179
800001296,Groß Varlingen I,1991,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Sulingen,Nienburg (Weser),Weser,Mittlere Weser Lockergestein rechts,,,32515068,5825209
800001298,Groß Varlingen II,1992,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Sulingen,Nienburg (Weser),Weser,Mittlere Weser Lockergestein rechts,,,32515068,5825207
701360001,Groß_Brunsrode_BR1,1992,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Helmstedt,Weser,Obere Aller mesozoisches Festgestein links,,Groß Brunsrode,32613943,5803050
701360002,Groß_Brunsrode_BR2,1992,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Helmstedt,Weser,Obere Aller mesozoisches Festgestein links,,Groß Brunsrode,32613934,5803080
701360004,Groß_Brunsrode_BR4,1992,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Helmstedt,Weser,Obere Aller mesozoisches Festgestein links,,Groß Brunsrode,32613890,5803015
701360005,Groß_Brunsrode_BR5,1995,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Helmstedt,Weser,Obere Aller mesozoisches Festgestein links,,Groß Brunsrode,32613824,5803008
701360000,Groß_Brunsrode_WW,1997,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Helmstedt,Weser,Obere Aller mesozoisches Festgestein links,,Groß Brunsrode,32613885,5803048
900000399,Großenkneten I,1993,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Brake-Oldenburg,Oldenburg,Weser,Hunte Lockergestein links,,,32450798,5867523
900000427,Großenkneten II,1993,1998,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Brake-Oldenburg,Oldenburg,Weser,Hunte Lockergestein links,,,32450799,5867524
900000429,Großenkneten III,1993,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Brake-Oldenburg,Oldenburg,Weser,Hunte Lockergestein links,,,32450800,5867526
900000375,Großenkneten-Nord,1988,1992,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Brake-Oldenburg,Oldenburg,Weser,Hunte Lockergestein links,,,32450838,5867603
900000251,Großensiel-Düker A,1981,2003,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Brake-Oldenburg,Wesermarsch,Weser,Untere Weser Lockergestein links,,,32463944,5924630
400001573,Großenwieden: Großen Wieden 1,1991,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hameln-Pyrmont,Weser,Oberweser-Hameln,,Großenwieden,32513101,5781079
400001574,Großenwieden: Großen Wieden 2,1991,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hameln-Pyrmont,Weser,Oberweser-Hameln,,Großenwieden,32512955,5781125
400001575,Großenwieden: Großen Wieden 3,1989,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hameln-Pyrmont,Weser,Oberweser-Hameln,,Großenwieden,32512829,5781252
400002071,Großenwieden: Rohwasserleitung WW,1996,1996,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hameln-Pyrmont,Weser,Oberweser-Hameln,,Großenwieden,32513101,5781080
400002945,Großenwieden: 11f,2005,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hameln-Pyrmont,Weser,Oberweser-Hameln,Weser (LK Hameln-Pyrmont und Stadt Hameln),,32513638,5780717
